Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
206	JM Fuster	Prefrontal cortex and the bridging of temporal gaps in the perception‐action cycle	1990	Annals of the New York Academy of Sciences	Wiley Online Library	https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.1990.tb48901.x	https://scholar.google.com/scholar?cites=3830084585705556536&as_sdt=2005&sciodt=2007&hl=en	5	2021-12-16 11:10:41		10.1111/j.1749-6632.1990.tb48901.x							206	6.65	206	1	31	A structure of normal behavior is defined by a goal and a display of action, in space and time, directed to attain that goal. In neural terms, the action consists essentially of a sequential pattern of sensory-motor integrations. That is to say, within any given behavioral structure, …		https://scholar.google.com/scholar?q=related:OMqtVqMxJzUJ:scholar.google.com/&scioq=%22active+inference%22+or+%22free+energy+principle%22&hl=en&as_sdt=2007&as_yhi=2009
2136	S Zeki, JD Watson, CJ Lueck, KJ Friston, ...	A direct demonstration of functional specialization in human visual cortex	1991	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/11/3/641.short	https://scholar.google.com/scholar?cites=5213453051558529148&as_sdt=2005&sciodt=2007&hl=en	10	2021-12-16 9:10:44									2136	71.2	427	5	30	We have used positron emission tomography (PET), which measures regional cerebral blood flow (rCBF), to demonstrate directly the specialization of function in the normal human visual cortex. A novel technique, statistical parametric mapping, was used to detect foci of …	https://www.jneurosci.org/content/jneuro/11/3/641.full.pdf?source=post_page---------------------------	https://scholar.google.com/scholar?q=related:fIhSp-3nWUgJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
1943	KJ Friston, CD Frith, PF Liddle, ...	Comparing functional (PET) images: the assessment of significant change	1991	Journal of Cerebral …	journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1038/jcbfm.1991.122	https://scholar.google.com/scholar?cites=14218792823567915523&as_sdt=2005&sciodt=2007&hl=en	18	2021-12-16 9:10:44		10.1038/jcbfm.1991.122							1943	64.77	486	4	30	Statistical parametric maps (SPMs) are potentially powerful ways of localizing differences in regional cerebral activity. This potential is limited by uncertainties in assessing the significance of these maps. In this report, we describe an approach that may partially resolve …	https://journals.sagepub.com/doi/pdf/10.1038/jcbfm.1991.122	https://scholar.google.com/scholar?q=related:A5qjF71MU8UJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
893	CD Frith, KJ Friston, PF Liddle, RSJ Frackowiak	A PET study of word finding	1991	Neuropsychologia	Elsevier	https://www.sciencedirect.com/science/article/pii/0028393291900298	https://scholar.google.com/scholar?cites=5307340967066733448&as_sdt=2005&sciodt=2007&hl=en	40	2021-12-16 9:10:44									893	29.77	223	4	30	We have used PET in conjunction with psychological activations to identify cortical areas involved in the intrinsic activation of word representations. In four normal subjects intrinsic generation of a word (verbal fluency) was associated with an increase in left dorsolateral …		https://scholar.google.com/scholar?q=related:iAvkc312p0kJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
434	AJ Martin, KJ Friston, JG Colebatch, ...	Decreases in regional cerebral blood flow with normal aging	1991	Journal of Cerebral …	journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1038/jcbfm.1991.121	https://scholar.google.com/scholar?cites=3357819596844139870&as_sdt=2005&sciodt=2007&hl=en	80	2021-12-16 9:10:44		10.1038/jcbfm.1991.121							434	14.47	109	4	30	Positron emission tomographic (PET) images of regional cerebral blood flow (rCBF) from 30 normal, resting volunteers aged 30 to 85 years were analysed to identify areas where rCBF fell with age. Images were anatomically normalised, and a pixel-by-pixel linear regression …	https://journals.sagepub.com/doi/pdf/10.1038/jcbfm.1991.121	https://scholar.google.com/scholar?q=related:XoW9ASJfmS4J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
375	KJ Friston, CD Frith, PF Liddle, ...	Plastic transformation of PET images.	1991	Journal of computer …	europepmc.org	https://europepmc.org/article/med/2061481	https://scholar.google.com/scholar?cites=4378019418149410466&as_sdt=2005&sciodt=2007&hl=en	264	2021-12-16 9:10:44									375	12.5	94	4	30	A theory and technique are presented that allow nonlinear resampling of positron emission tomography data to remove nonlinear differences in brain shape. The resampling is determined empirically by a function relating the observed image and a desired template …		https://scholar.google.com/scholar?q=related:otaODnfZwTwJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
75	DL Bailey, T Jones, KJ Friston, JG Colebatch, ...	Physical validation of statistical parametric mapping	1991	J Cereb Blood Flow Metab			https://scholar.google.com/scholar?cites=8799893473884769081&as_sdt=2005&sciodt=2007&hl=en	710	2021-12-16 9:10:44	CITATION								75	2.5	15	5	30			https://scholar.google.com/scholar?q=related:OQsunH2AH3oJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
63	KJ Friston, RSJ Frackowiak	Imaging functional anatomy	1991	Brain work and mental activity. Copenhagen …			https://scholar.google.com/scholar?cites=18357896561982030853&as_sdt=2005&sciodt=2007&hl=en	719	2021-12-16 9:10:44	CITATION								63	2.1	32	2	30			https://scholar.google.com/scholar?q=related:BcRNqKhZxP4J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
1077	C Weiller, F Chollet, KJ Friston, ...	Functional reorganization of the brain in recovery from striatocapsular infarction in man	1992	Annals of Neurology …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.410310502	https://scholar.google.com/scholar?cites=1026495750366957536&as_sdt=2005&sciodt=2007&hl=en	31	2021-12-16 9:10:44		10.1002/ana.410310502							1077	37.14	269	4	29	We used positron emission tomography (PET) to study organizational changes in the functional anatomy of the brain in 10 patients following recovery from striatocapsular motor strokes. Comparisons of regional cerebral blood flow maps at rest between the patients and …		https://scholar.google.com/scholar?q=related:4A8SRHLYPg4J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
918	CJ Bench, KJ Friston, RG Brown, LC Scott, ...	The anatomy of melancholia–focal abnormalities of cerebral blood flow in major depression	1992	Psychological …	cambridge.org	https://www.cambridge.org/core/journals/psychological-medicine/article/anatomy-of-melancholia-focal-abnormalities-of-cerebral-blood-flow-in-major-depression/3CE11BE2A5FE7BB722811E2E294CD10A	https://scholar.google.com/scholar?cites=14989649115560962128&as_sdt=2005&sciodt=2007&hl=en	32	2021-12-16 9:10:44									918	31.66	184	5	29	Using positron emission tomography (PET) and 15Oxygen, regional cerebral blood flow (rCBF) was measured in 33 patients with primary depression, 10 of whom had an associated severe cognitive impairment, and 23 age-matched controls. PET scans from these groups …		https://scholar.google.com/scholar?q=related:UGjCuHPuBdAJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
721	ST Grafton, JC Mazziotta, S Presty, ...	Functional anatomy of human procedural learning determined with regional cerebral blood flow and PET	1992	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/12/7/2542.short	https://scholar.google.com/scholar?cites=8255813028497651256&as_sdt=2005&sciodt=2007&hl=en	48	2021-12-16 9:10:44									721	24.86	180	4	29	The functional anatomy of motor skill acquisition was investigated in six normal human subjects who learned to perform a pursuit rotor task with their dominant right hand during serial positron emission tomography (PET) imaging of relative cerebral blood flow (relCBF) …	https://www.jneurosci.org/content/jneuro/12/7/2542.full.pdf	https://scholar.google.com/scholar?q=related:OPakTzWKknIJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
0	G Matzander, J Klingelhöfer, I Wittich, D Sander, ...	Therapy monitoring	1992	Abstracts of the 65th …	Springer	https://link.springer.com/chapter/10.1007/978-3-662-39699-5_3		746	2021-12-16 9:10:44		10.1007/978-3-662-39699-5_3							0	0	0	5	29	Different brain activities cause specific patterns of cerebral activation in the two hemispheres which may result in regional differences in cerebral blood flow. In the present study, we evaluated the rapid alterations in cerebral perfusion in both middle cerebral arteries during …		https://scholar.google.com/scholar?q=related:Xd29br6odkMJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
724	CJ Bench, KJ Friston, RG Brown, ...	Regional cerebral blood flow in depression measured by positron emission tomography: the relationship with clinical dimensions	1993	Psychological …	cambridge.org	https://www.cambridge.org/core/journals/psychological-medicine/article/regional-cerebral-blood-flow-in-depression-measured-by-positron-emission-tomography-the-relationship-with-clinical-dimensions/7B9F4AD2D243F4374AE0B443505C09FE	https://scholar.google.com/scholar?cites=10533625939874330103&as_sdt=2005&sciodt=2007&hl=en	41	2021-12-16 9:10:44									724	25.86	181	4	28	We have previously reported focal abnormalities of regional cerebral blood flow (rCBF) in a group of 33 patients with major depression. This report, on an extended sample of 40 patients who demonstrated identical regional deficits to those previously described …		https://scholar.google.com/scholar?q=related:97UMl_v0LpIJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
16	C Willer, SC Ramsay, RJS Wise, ...	Individual patterns of functional reorganization in the human cerebral cortex after capsular infraction	1993	Annals of Neurology …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.410330208	https://scholar.google.com/scholar?cites=8222091163330450483&as_sdt=2005&sciodt=2007&hl=en	605	2021-12-16 9:10:44		10.1002/ana.410330208							16	0.57	4	4	28	We have previously shown bilateral activation of motor pathways and the recruitment of additional motor areas in studies of groups of patients with recovery from motor stroke. We have now deveoloped a new positron emission tomographic technique to measure the …		https://scholar.google.com/scholar?q=related:M5QwvVm8GnIJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
10593	KJ Friston, AP Holmes, KJ Worsley, ...	Statistical parametric maps in functional imaging: a general linear approach	1994	Human brain …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.460020402	https://scholar.google.com/scholar?cites=7247783031682171276&as_sdt=2005&sciodt=2007&hl=en	1	2021-12-16 9:10:44		10.1002/hbm.460020402							10593	392.33	2648	4	27	Statistical parametric maps are spatially extended statistical processes that are used to test hypotheses about regionally specific effects in neuroimaging data. The most established sorts of statistical parametric maps (eg, Friston et al.[1991]: J Cereb Blood Flow Metab 11 …	https://www.academia.edu/download/39102867/friston1995b.pdf	https://scholar.google.com/scholar?q=related:jAGFVERMlWQJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2564	KJ Friston	Functional and effective connectivity in neuroimaging: a synthesis	1994	Human brain mapping	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.460020107	https://scholar.google.com/scholar?cites=9194395696954793288&as_sdt=2005&sciodt=2007&hl=en	17	2021-12-16 9:10:44		10.1002/hbm.460020107							2564	94.96	2564	1	27	The brain appears to adhere to two principles of functional organization; functional segregation and functional integration. The integration within and between functionally specialized areas is mediated by functional or effective connectivity. The characterization of …	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.160.256&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:SN1eISwOmX8J:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
2112	KJ Friston, KJ Worsley, RSJ Frackowiak, ...	Assessing the significance of focal activations using their spatial extent	1994	Human brain …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.460010306	https://scholar.google.com/scholar?cites=17740356601082067945&as_sdt=2005&sciodt=2007&hl=en	9	2021-12-16 9:10:44		10.1002/hbm.460010306							2112	78.22	528	4	27	Current approaches to detecting significantly activated regions of cerebral tissue use statistical parametric maps, which are thresholded to render the probability of one or more activated regions of one voxel, or larger, suitably small (eg, 0.05). We present an …	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.160.4935&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:6btAFFZoMvYJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
1890	KJ Friston, P Jezzard, R Turner	Analysis of functional MRI time‐series	1994	Human brain mapping	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.460010207	https://scholar.google.com/scholar?cites=8665441419111500936&as_sdt=2005&sciodt=2007&hl=en	21	2021-12-16 9:10:44		10.1002/hbm.460010207							1890	70	630	3	27	A method for detecting significant and regionally specific correlations between sensory input and the brain's physiological response, as measured with functional magnetic resonance imaging (MRI), is presented in this paper. The method involves testing for correlations …	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.159.8014&rep=rep1&type=pdf	https://scholar.google.com/scholar?q=related:iAwZKA_VQXgJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
314	KJ Friston	Statistical parametric mapping.	1994		psycnet.apa.org	https://psycnet.apa.org/record/1994-97892-008	https://scholar.google.com/scholar?cites=3768509442555639797&as_sdt=2005&sciodt=2007&hl=en	132	2021-12-16 9:10:44									314	11.63	314	1	27	Abstract statistical parametric maps (SPMs) are images with pixel values that are, under a null hypotheses, distributed according to a known (statistical) probability density function/describes the ideas and techniques used in statistical parametric mapping/the …		https://scholar.google.com/scholar?q=related:9fc7IF9vTDQJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
246	P Grasby, CD Frith, KJ Friston, J Simpson, PC Fletcher, ...	A graded task approach to the functional mapping of brain areas implicated in auditory—verbal memory	1994	Brain	academic.oup.com	https://academic.oup.com/brain/article-abstract/117/6/1271/291947	https://scholar.google.com/scholar?cites=15100104820582433982&as_sdt=2005&sciodt=2007&hl=en	194	2021-12-16 9:10:44									246	9.11	41	6	27	Positron emission tomography measurements of regional cerebral blood flow (rCBF) were performed in normal volunteers during a graded auditory-verbal memory task. Subjects were required to remember and then immediately, and freely, recall a series of auditorily …	https://pure.mpg.de/rest/items/item_2614706/component/file_2623890/content	https://scholar.google.com/scholar?q=related:vsT6nVRZjtEJ:scholar.google.com/&scioq=author:%22karl+j+friston%22&hl=en&as_sdt=2007
